Name,Lat,Long,YearDates,Address,Date,Motivation,Tactic
A.B. Magil Lecture,40.4415346,-79.9968145,1938,648 Grant Street,10/12/1938,Capitalism,Educational
Lord Marley Lecture,40.4397179,-80.0005428,1934,400 Fifth Avenue,2/23/1934,Nazism,Educational
Boycott Bulletin,40.4388993,-80.0019109,1939,345 Fourth Ave,1939,Nazism,Boycott
Labor Poets will Speak Pro'Spain,40.4380495,-80.0023339,1937,211 Smithfield St,4/11/1937,Spanish nationalism,Educational
Over the Top...Republican Spain Drives Fascists from Madrid,40.4380495,-80.0023339,1937,211 Smithfield St,8/4/1937,Spanish nationalism,Educational
Art Cinema,40.4429995,-80.0008505,1939,809 Liberty Ave,5/9/1939,Nazism,Cultural
Halt Roosevelt's Mad Rush to War!,40.443025,-79.9991471,1940,305 Seventh Ave,5/24/1940,War,Cultural
Communist Party of Western PA Office,40.443025,-79.9991471,1934,305 Seventh Ave,1934,Capitalism,Organization
Spain in Arms Lecture,40.4433931,-80.0025241,1937,100 Seventh Ave,4/25/1937,Spanish nationalism,Educational
Hungry Club Talks,40.454438,-79.9189592,1945-1948,220 Larimer Ave,1945-1948,Nazism,Educational
Anti-Nazi Protest,40.4451001,-79.9586185,1941,Soldiers and Sailors Memorial Hall,11/14/1941,Nazism,Demonstration
CPUSA Late-40's Office,40.4386023,-79.9996529,1949,417 Grant Street,1949,Capitalism,Organization
Dr. Glenn Clark Talks,40.4419247,-79.9992388,1948,620 Smithfield St,10/24/1948,Nazism,Educational
Hate Does Not Wait Conference,40.4421007,-80.0012765,1948,313 Sixth Ave,1948,Anti-semitism,Religious
Community Action Rally,40.4533858,-80.0142584,1966,Lake Elizabeth,8/10/1966,Capitalism,Demonstration
Anti-Right Wing Library,40.4386023,-79.9996529,1966-1968,417 Grant St,1966-1968,Other/multiple,Educational
Citizens Concerned for the Democratic Process Meeting,40.4417028,-79.929497,1966,5618 Woodmont St,11/10/1966,Other/multiple,Direct action
Citizens against White Racism Pledge,40.4491615,-79.9479964,1964-1970,4836 Ellsworth Ave,1964-1970,Anti-black racism,Religious
Citizens vs. White Racism Office,40.4491615,-79.9479964,1964-1970,4836 Ellsworth Ave,1964-1970,Anti-black racism,Religious
Defend the Pittsburgh Three,40.4465076,-79.9540678,1969,Fifth Ave & South Bellefield Ave,7/25/1969,Anti-black racism,Legal defense
Warsaw Ghetto Memorial Program,40.4454493,-79.9528483,1968,Bellefield Hall,4/21/1968,Nazism,Commemorative
Right-Wing Extremism: A Threat to Civil Rights,40.4442526,-79.9554277,1966,Cathedral of Learning,5/18/1966,Political repression,Educational
The Colodny Case,40.4442526,-79.9554277,1960-1961,Pitt (Pinned at Cathy),1960-1961,Political repression,Legal defense
Thomas Merton Center,40.4649576,-79.943899,1972-2021,5129 Penn Ave,1972-2021,War,Religious
Community Forum: Remembering Soweto,40.4648578,-79.9225957,1978,6111 Rodman St,6/15/1978,South African apartheid,Commemorative
Henry Kissinger Protest,40.4432834,-79.9524112,1980,4400 Forbes Ave,4/2/1980,New Right,Demonstration
Spain: Revolution Reborn,40.4465076,-79.9540678,1975,Fifth Ave & South Bellefield Ave,9/25/1975,Spanish nationalism,Educational
Voices from the Underground in Spain,40.4465076,-79.9540678,1974,Fifth Ave & South Bellefield Ave,10/12/1974,Spanish nationalism,Educational
Public Meeting to Discuss the Carabanchel 10,40.4465076,-79.9540678,1974,Fifth Ave & South Bellefield Ave,3/10/1974,Spanish nationalism,Mass meeting
Greet 140 UN Ambassadors,40.4444222,-79.9569991,1977,Fifth Ave & Bigelow Blv,6/12/1977,South African apartheid,Demonstration
Stefan Heym Lecture Series,40.4442526,-79.9554277,1978,Cathedral of Learning,11/3/1978,Nazism,Educational
Sra. Laura Allende Talk,40.4442526,-79.9554277,1975,Cathedral of Learning,9/16/1975,Latin America,Educational
The New Right Forum,40.4436495,-79.9567046,1978,William Pitt Union,10/27/1978,New Right,Educational
Racism in Education: Will Pittsburgh be Another Boston,40.4436495,-79.9567046,1975,William Pitt Union,2/9/1975,Anti-black racism,Demonstration
Chile: When the People Awake,40.4440427,-79.9601913,1974,3700 O'Hara St,9/12/1974,Latin America,Educational
Senate Bill 1: An Encyclopedia on Repression,40.4440427,-79.9601913,1976,3700 O'Hara St,1/23/1976,Political repression,Mass meeting
Repression in Chile,40.4389338,-79.9653048,1974,3333 Fifth Avenue,9/16/1974,Latin America,Mass meeting
Stanton Story Defense Committee,40.4430959,-79.9840954,1975,1835 Centre Avenue,12/4/1975,Anti-black racism,Legal defense
U.S. out of Southern Africa...Now!,40.4414838,-79.9882026,1977,91 Crawford St,2/3/1977,South African apartheid,Demonstration
Picket Line in Defense of Joanne Little and Stanton Story,40.4388408,-79.9981202,1975,436 Grant St,7/14/1975,Anti-black racism,Demonstration
Anita Attacks All! Demonstration against Bigotry,40.4409765,-79.9910607,1977,66 Mario Lemieux Pl,5/22/1977,New Right,Demonstration
End Repression in Chile,40.4405371,-80.0001831,1974,514 Smithfield St,9/13/1974,Latin America,Demonstration
South Korea Clothing Boycott,40.4425757,-80.0009313,1976,717 Liberty Ave,1976,Other/multiple,Boycott
People's March to the G20,40.4539373,-80.0090913,2009,"East Park Drive, Pittsburgh",9/25/2009,Other/multiple,Demonstration
People's March to the G20,40.438334,-79.9994952,2009,414 Grant St,9/25/2009,Other/multiple,Demonstration
People's March to the G20,40.4378453,-79.9661822,2009,Fifth Ave & Craft Ave,9/25/2009,Other/multiple,Demonstration
G20 Assembly at Pitt,40.4424382,-79.9564111,2009,3990 Fifth Ave,9/24/2009,Other/multiple,Demonstration
"Evict the military recruitment station, cage the recruiters!",40.4432834,-79.9524112,2008,4400 Forbes Ave,3/24/2008,War,Direct action
Pittsburgh Students for Police Accountability,40.4428983,-79.9546069,2014,Schenley Plaza,12/5/2014,Political repression,Mass meeting
The Promise of Anarchism: An International Panel Discussion,40.4442526,-79.9554277,2015,Cathedral of Learning,9/19/2015,Other/multiple,Educational
"March, Rally, and General Merry-Making against the Attacks on Education",40.4442526,-79.9554277,2011,Cathedral of Learning,10/29/2011,Political repression,Demonstration
Stop McCarthyism at Pitt!,40.4436495,-79.9567046,2009,William Pitt Union,11/9/2009,Political repression,Direct action
Building Student Power,40.4436495,-79.9567046,2015,William Pitt Union,2/5/2015,Other/multiple,Mass meeting
KKK Rally Disruption,40.438334,-79.9994952,1997,City-County Building,4/5/1997,Ku Klux Klan,Direct action
KKK Rally Condemned,40.4480764,-80.0064821,1941,105 Federal St,10/3/1941,Ku Klux Klan,Direct action
Jewish Public Relations Council,40.4424029,-79.9996593,1943-1965,Grogan Building at corner of Wood and Liberty,1943-1965,Anti-semitism,Organization
Committee to End Sedition Laws,40.4401296,-79.9616162,1955-1956,3501 Forbes Avenue,1955-1956,Political repression,Organization
Defense of the Yidisher Kultur Farband,40.4399038,-79.9415472,1953,6328 Forbes Avenue,1953,Anti-semitism,Legal defense
Attica,40.4390765,-79.9640552,1974,Carlow University,9/29/1974,Anti-black racism,Cultural
NAARPR Caravan,40.4414249,-79.9881586,1974,St Brigid St Benedict the Moor,7/4/1974,War,Religious
Ian Pasley Disruption,40.44218,-80.0006307,1983,Duquesne Club,9/22/1983,Capitalism,Direct action
US Cut Diplomatic Ties with South Africa,40.4414249,-79.9881586,1978,St Brigid St Benedict the Moor,6/14/1978,South African apartheid,Mass meeting
Press and Post-Gazette Picket,40.4397685,-80.0087792,1978,"Pgh Press Building, 34 Blvd of Allies",1978,South African apartheid,Demonstration
Remember the Greensboro Massacre,40.4343766,-79.9549233,1980,"Paul Younger Community Center, Blvd of the Allies and Ward",6/30/1980,Ku Klux Klan,Commemorative
Rock against Racism,40.4400946,-79.9473065,1981,Flagstaff Hill,6/28/1981,Anti-black racism,Cultural
March against Racist Violence,40.4522805,-79.9665561,1981,Herron and Milwaukee,4/4/1981,Anti-black racism,Demonstration
Resurgence,40.4426131,-79.9601848,1982,Pitt Public Health,1/15/1982,Ku Klux Klan,Educational
Until She Talks,40.4426131,-79.9601848,1982,Pitt Public Health,5/7/1982,Political repression,Cultural
Unmasking the Ku Klux Klan,40.4465076,-79.9540678,1981,Fifth and bellefield,11/12/1981,Ku Klux Klan,Educational
Unmasking the Ku Klux Klan,40.4341875,-80.0044387,1981,131 E 9th Ave homestead,11/12/1981,Ku Klux Klan,Educational
NAACP Anti-Klan Press Conference,40.4461212,-79.9790267,1986,2203 Wylie Ave,7/5/1986,Ku Klux Klan,Mass meeting
Rally against Reagan,40.4409155,-79.9975086,1983,Steel Plaza,4/6/1983,New Right,Demonstration
Africa Day,40.4564884,-79.8954814,1990,7310 Frankstown Ave,9/15/1990,Other/multiple,Cultural
Stop US Support for Death Squad Govt,40.4431276,-79.9967081,1989,Downtown Federal Building,6/1/1989,Latin America,Demonstration
Eyewitness Week,40.4649576,-79.943899,1989,5129 Penn Ave,10/1/1989,Latin America,Educational
Chiapas,40.4547533,-80.0137016,1994,416 W North Ave,4/5/1994,Latin America,Educational
Counter-Intelligence Cabaret,40.4491615,-79.9479964,1986,4836 Ellsworth Ave,5/17/1986,Political repression,Cultural
Communist Anti-Fascist Rally,40.4275102,-79.9852221,1939,1508 Sarah Street,1/22/1939,Nazism,Mass meeting
YM&WHA Talks,40.4454493,-79.9528483,1943-1944,Bellefield Hall,1943-1944,Other/multiple,Educational
Death to Apartheid,40.4416844,-79.9995684,1982,610 Smithfield Street,6/4/1905,South African apartheid,Demonstration
Lebanon Protest,40.4442526,-79.9554277,1982,Cathedral of Learning,9/27/1982,Other/multiple,Demonstration
Direct Action against Klan Visit,40.451022,-79.9034202,1982,7134 Thomas Boulevard,12/15/1982,Ku Klux Klan,Direct action
Mini-Convocation on Hate Groups,40.4391496,-80.0039304,1990,305 Wood Street,5/4/1990,Ku Klux Klan,Religious
Rally Against the KKK,40.170702,-80.2475417,1990,"Washington Courthouse, Washington, PA",4/28/1990,Ku Klux Klan,Demonstration
Speak with One Voice against Racism,40.4560643,-79.9245786,1990,315 Shady Avenue,4/4/1990,Anti-black racism,Religious
An Evening of Solidarity with the People of El Salvador,40.4425725,-79.9573774,1982,3942 Forbes Avenue,3/23/1982,Latin America,Educational
Protest Kirkpatrick Visit,40.4409765,-79.9910607,1981,66 Mario Lemieux Pl,4/26/1981,Latin America,Demonstration
